Model,Paper Acc,DS1 Acc,DS1 Prec,DS1 Recall,DS1 F1,DS1 AUC,DS2 Acc,DS2 Prec,DS2 Recall,DS2 F1,DS2 AUC,Δ Acc,Best LR,Optimiser
DenseNet-121,0.9450,0.9590,0.9646,0.9530,0.9588,0.9883,0.9820,0.9782,0.9860,0.9821,0.9906,+0.0140,4.00e-03,adamw
InceptionV3,0.9120,0.9445,0.9441,0.9450,0.9445,0.9855,0.9580,0.9580,0.9580,0.9580,0.9886,+0.0325,1.91e-03,adam
Xception,0.9380,0.9495,0.9499,0.9490,0.9495,0.9865,0.9680,0.9661,0.9700,0.9681,0.9880,+0.0115,3.16e-03,adam
ViT-Pretrained,0.8825,0.9510,0.9698,0.9310,0.9500,0.9898,0.9690,0.9757,0.9620,0.9688,0.9961,+0.0685,-,-
Ensemble,0.9525,0.9625,0.9715,0.9530,0.9621,0.9936,0.9780,0.9799,0.9760,0.9780,0.9963,+0.0100,-,-
